node_id,latitude,longitude
194041,37.49991567325866,127.02474007614695
107675,37.49903414717098,127.02515158311873
256,37.49906349829542,127.02529295644432
255,37.49921645686644,127.02572169030847
254,37.49927217157108,127.02593167084584
253,37.49930400506903,127.02606665711428
262,37.499495070673134,127.02657663136813
114849,37.49986018505463,127.02641759302645
193725,37.50067379568353,127.02604277925394
193726,37.500939463595834,127.02592304735641
193727,37.50108890408938,127.02584495266886
193728,37.50133797032153,127.02572000393853
193729,37.501537219587924,127.0256367156771
193730,37.501632698061194,127.02557423078689
193731,37.5017406239437,127.02553258918104
107129,37.501925694842576,127.02544143725505
107076,37.50205792651699,127.02536772431716
107075,37.502209740402726,127.02531860371012
106939,37.502410534900775,127.02521418079779
106907,37.50253296873408,127.0251589032658
106906,37.5026847864391,127.0250913423211
