latitude,longitude,safety grade
37.49865724051409,127.02442005830676,17.0
37.498872553907525,127.0251330902518,49.0
37.49903414717098,127.02515158311871,49.0
37.501539502426105,127.0221591065781,68.0
37.49906907428628,127.02579162670764,171.0
37.49930400506903,127.02606665711428,204.99999999999997
37.49927217157108,127.02593167084584,235.0
37.49921645686644,127.02572169030849,172.0
37.49906349829542,127.02529295644432,49.0
37.49912479656512,127.02596661338448,231.99999999999997
37.49855462701749,127.02332600189376,188.0
37.499232258556376,127.02631158704158,211.0
37.49932379019191,127.02664655785436,91.0
37.498628037618666,127.02354114182084,227.99999999999997
37.499495070673134,127.02657663136812,120.0
37.49927449084337,127.02321559321372,48.0
37.50149996958707,127.02399073343187,459.99999999999994
37.50180826155184,127.02501114497912,1401.0
37.50170551093879,127.02461159113848,1071.0
37.50169097165695,127.0238740119238,308.0
37.5020239905955,127.0237204559328,15.0
37.50269982401744,127.02340104984698,8.0
37.49921086983511,127.02301889350416,38.0
37.49949513131113,127.02174055583036,3.0
37.49950486123506,127.02208475002442,4.0
37.5026847864391,127.0250913423211,76.0
37.50253296873408,127.0251589032658,225.0
37.501925694842576,127.02544143725504,678.0
37.50205792651699,127.02536772431716,526.0
37.502209740402726,127.02531860371012,559.0
37.49986018505463,127.02641759302644,297.0
37.50245024099545,127.0225896318477,9.0
37.502410534900775,127.0252141807978,496.0
37.502827152663805,127.02335191721204,158.0
37.50243032572134,127.02424303819544,316.0
37.50241064011849,127.02471631330673,499.0
37.4997152918086,127.02279778184368,33.0
37.50067379568353,127.02604277925394,57.99999999999999
37.50093946359584,127.0259230473564,108.0
37.50108890408938,127.02584495266886,170.0
37.50133797032153,127.02572000393852,324.0
37.50153721958792,127.0256367156771,380.0
37.5016326980612,127.02557423078687,647.0
37.5017406239437,127.02553258918104,647.0
37.49890687388026,127.02522318104228,49.0
37.49893812077176,127.02536844599771,39.0
37.499176526826936,127.02618159153128,214.0
37.49847137390212,127.02335670694652,188.0
37.49831465409816,127.02345499696546,185.0
37.4983782670017,127.02368857178408,185.0
37.49857905405004,127.02361488082714,227.99999999999997
37.49900968234159,127.02505938140466,48.0
37.5017990613311,127.02203010757108,98.0
37.5013240637364,127.02202996801434,65.0
37.50111348055085,127.02212210224056,61.0
37.50084902694748,127.022238805529,91.0
37.500912644563925,127.02246009443354,91.0
37.50122117845712,127.02230038005534,61.0
37.500741287413,127.02228179820656,31.0
37.5004224137376,127.02515204876644,1972.0
37.50053277265177,127.0255894847963,1379.0
37.50038867923398,127.02245379114343,31.0
37.49991358823846,127.02293920721507,63.0
37.50024624497899,127.0245865268313,612.0
37.50011168951277,127.0240578988289,15.0
37.49991567325866,127.02474007614695,167.0
37.49984752188384,127.02272406641374,63.0
37.50159528212246,127.02585033699992,376.0
37.499939655050994,127.02696043366358,91.0
37.50044776913427,127.02671932690212,84.0
37.5007727789376,127.02656432739464,80.0
37.50107261056196,127.02642655278086,114.99999999999999
37.50301000000002,127.02674,162.0
37.50276000000001,127.02685,159.0
37.502300000000005,127.02644,467.0
37.50204999999999,127.02697000000002,309.0
37.50101773069214,127.02622258485351,109.00000000000001
37.50268850168897,127.02564865330623,192.0
37.50232458085833,127.02583524556628,193.0
37.502013305949525,127.02597876598512,197.0
37.50166083241815,127.02614237863968,195.0
37.50129462347154,127.0263232200936,47.0
37.501740000000005,127.02671,15.0
37.50285000000002,127.02618,306.0
