node_key,cctv
107714,7
107676,9
107675,9
107290,8
252,21
253,25
254,25
255,22
256,9
257,22
107674,8
258,31
259,31
107673,8
262,30
107672,8
194033,10
107154,21
107155,21
107176,8
107177,15
107178,8
107460,8
107456,3
107455,4
106906,16
106907,15
107129,18
107076,16
107075,19
114849,27
102592,9
106939,16
106859,8
106860,16
106861,19
194044,3
193725,28
193726,18
193727,20
193728,24
193729,20
193730,17
193731,17
193733,9
193734,9
193738,34
193992,8
193993,5
193994,5
193995,8
193996,8
194018,8
194025,5
194027,1
194028,1
194029,1
194030,1
194031,1
194034,22
194035,29
194036,1
194037,3
194039,12
194040,5
194041,7
194043,3
130105,16
71798,31
71797,24
71796,20
71795,25
66722,12
71821,9
71822,17
71823,9
130106,19
130138,12
130139,13
130140,17
130144,15
130145,17
130148,15
71820,6
