node_key,latitude,longitude
259,37.49932379019191,127.02664655785436
262,37.499495070673134,127.02657663136813
278,37.49967829980864,127.02650670878631
212123,37.49834473014635,127.02712124842598
193735,37.497830229347414,127.02652605149396
193739,37.497918137222385,127.02682062564384
193745,37.49747011540856,127.02666343665331
193752,37.49757951442308,127.02698931069848
74331,37.50075,127.02773000000002
71746,37.50062542945281,127.03023304149295
74397,37.49972,127.02938
74396,37.50108,127.02748
74395,37.50112466172814,127.02773320838112
74394,37.501340000000006,127.02763
74393,37.501670000000004,127.02747000000001
74391,37.50169,127.02877000000001
71818,37.50171000000002,127.02718999999999
71817,37.50254000000001,127.0279
71811,37.50106999999999,127.02776000000001
71810,37.50080000000001,127.02788
71809,37.500801981216256,127.02890255845459
71808,37.50192,127.02954
71807,37.500640000000004,127.02893
71806,37.50033000000001,127.02793
71805,37.500299999999996,127.02784
71804,37.50111317602257,127.02910088221206
71803,37.50010999999999,127.02886000000001
71802,37.4999,127.029
71801,37.50017,127.02743999999998
71800,37.49986999999999,127.02803999999999
71799,37.49988243395206,127.02699201028021
71798,37.499939655050994,127.02696043366358
71797,37.50044776913427,127.02671932690211
71796,37.5007727789376,127.02656432739465
71747,37.50072838127445,127.03036234569062
71748,37.500066918183904,127.03048859294654
71819,37.50201956017414,127.02862439008011
71823,37.50204999999999,127.02697000000002
71824,37.502210000000005,127.02710999999998
71743,37.50218000000001,127.03068
78034,37.49823703764463,127.03045259762793
71812,37.50142,127.02889
71813,37.50227568492936,127.02941157024885
71816,37.50242,127.02811
134571,37.49800203822947,127.0296558646798
130148,37.501740000000005,127.02671000000001
130149,37.500957750477504,127.02707246865994
130150,37.5006,127.02724000000002
130154,37.49886479127003,127.02978546534436
130155,37.49877103471128,127.02948956789604
130156,37.49958861355885,127.02713447177592
130157,37.49975,127.02765000000001
130158,37.499210000000005,127.02961999999998
134568,37.499826849259094,127.02973807126835
134569,37.49945000000001,127.0295
134570,37.49855746945207,127.03032059638416
104660,37.498604424144,127.02761093784272
104262,37.49802284280861,127.02881713194543
104260,37.49824241764342,127.0293313775272
104259,37.49829729719895,127.02951523330059
104257,37.498416601490376,127.02829163119527
104256,37.498760000000004,127.02812
104254,37.49954041244989,127.0277434155775
134603,37.49981,127.03066
130481,37.499182121056656,127.03080054725926
130480,37.49874952843161,127.03101292927873
130478,37.49922327977986,127.03093556915137
130477,37.49956000000001,127.03079000000001
104253,37.49926,127.02788
