node_key,cctv,Roadside,Children,Alcol,Bus
107714,7,0,1,0,0
107676,9,1,1,0,0
107675,9,1,1,0,0
107290,8,0,0,0,2
252,21,0,0,1,0
253,25,0,0,1,1
254,25,1,0,1,1
255,22,0,0,1,0
256,9,1,1,0,0
257,22,1,0,1,1
107674,8,1,0,1,0
258,31,0,0,1,1
259,31,1,0,0,1
107673,8,2,1,1,0
262,30,1,0,0,2
107672,8,1,1,0,0
194033,10,0,0,3,0
107154,21,0,0,9,1
107155,21,0,0,7,0
107176,8,0,0,2,0
107177,15,0,0,0,0
107178,8,0,0,0,0
107460,8,1,0,0,0
107456,3,0,0,0,0
107455,4,0,0,0,0
106906,16,0,0,0,2
106907,15,0,0,1,2
107129,18,0,0,4,2
107076,16,0,0,3,2
107075,19,0,0,3,3
114849,27,0,0,1,4
102592,9,0,0,0,0
106939,16,0,0,3,1
106859,8,0,0,1,0
106860,16,0,0,2,0
106861,19,0,0,3,1
194044,3,0,0,0,1
193725,28,0,0,0,1
193726,18,1,0,0,2
193727,20,0,0,1,0
193728,24,0,0,2,0
193729,20,1,0,2,1
193730,17,0,0,4,1
193731,17,0,0,4,1
193733,9,1,1,0,0
193734,9,1,0,0,0
193738,34,0,0,1,1
193992,8,1,0,1,0
193993,5,1,0,1,0
193994,5,1,0,1,0
193995,8,2,1,1,0
193996,8,1,1,0,0
194018,8,1,0,0,2
194025,5,0,0,0,2
194027,1,0,0,0,2
194028,1,1,0,0,2
194029,1,1,0,0,2
194030,1,0,0,0,2
194031,1,0,0,0,1
194034,22,0,0,13,0
194035,29,0,0,9,0
194036,1,0,0,0,1
194037,3,1,0,0,1
194039,12,0,0,4,0
194040,5,0,1,0,0
194041,7,0,1,1,0
194043,3,1,0,0,1
130105,16,1,0,2,1
71798,31,0,0,0,2
71797,24,0,0,0,2
71796,20,0,0,0,2
71795,25,1,0,0,2
66722,12,0,0,1,0
71821,9,0,0,1,0
71822,17,0,0,3,0
71823,9,0,0,2,0
130106,19,1,0,0,2
130138,12,0,0,1,1
130139,13,0,0,1,1
130140,17,0,0,1,1
130144,15,1,0,1,0
130145,17,0,0,0,1
130148,15,0,0,0,0
71820,6,0,0,2,0
